DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Austria,2013,64825.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Austria,2014,64815.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Austria,2015,65138.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Austria,2016,64838.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Austria,2017,64805.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Austria,2018,64285.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Austria,2019,63838.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Austria,2020,62873.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Austria,2021,61927.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Austria,2022,60739.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Burgenland,2013,1741.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Burgenland,2014,1732.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Burgenland,2015,1719.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Burgenland,2016,1757.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Burgenland,2017,1813.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Burgenland,2018,1772.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Burgenland,2019,1726.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Burgenland,2020,1696.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Burgenland,2021,1631.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Burgenland,2022,1586.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Niederösterreich,2013,11366.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Niederösterreich,2014,11540.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Niederösterreich,2015,11536.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Niederösterreich,2016,11427.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Niederösterreich,2017,11220.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Niederösterreich,2018,11282.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Niederösterreich,2019,11285.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Niederösterreich,2020,11347.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Niederösterreich,2021,11219.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Niederösterreich,2022,11046.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Wien,2013,13913.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Wien,2014,14255.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Wien,2015,14835.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Wien,2016,14756.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Wien,2017,14717.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Wien,2018,14321.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Wien,2019,14319.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Wien,2020,13938.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Wien,2021,13510.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Wien,2022,13208.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Kärnten,2013,4874.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Kärnten,2014,4810.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Kärnten,2015,4799.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Kärnten,2016,4693.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Kärnten,2017,4544.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Kärnten,2018,4593.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Kärnten,2019,4511.00,
