DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Albania,2019,50.7,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Albania,2020,46.2,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Albania,2021,46.6,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Veri,2019,55.4,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Veri,2020,45.6,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Veri,2021,46.7,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Qender,2019,49.2,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Qender,2020,45.4,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Qender,2021,46.6,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Jug,2019,48.4,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Jug,2020,47.8,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Jug,2021,46.5,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Austria,2019,16.5,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Austria,2020,16.7,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Austria,2021,17.3,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Austria,2022,17.5,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Austria,2023,17.7,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Ostösterreich,2021,20.5,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Ostösterreich,2022,20.4,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Ostösterreich,2023,21.2,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Burgenland,2021,13.0,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Burgenland,2022,7.3,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Burgenland,2023,12.3,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Niederösterreich,2021,15.2,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Niederösterreich,2022,16.2,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Niederösterreich,2023,13.2,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Wien,2021,26.3,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Wien,2022,26.2,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Wien,2023,29.5,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Südösterreich,2021,15.4,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Südösterreich,2022,16.2,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Südösterreich,2023,15.8,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Kärnten,2021,15.6,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Kärnten,2022,14.9,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Kärnten,2023,17.2,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Steiermark,2021,15.3,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Steiermark,2022,16.8,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Steiermark,2023,15.2,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Westösterreich,2021,14.4,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Westösterreich,2022,14.7,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Westösterreich,2023,14.6,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Oberösterreich,2021,11.2,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Oberösterreich,2022,11.9,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Oberösterreich,2023,14.6,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Salzburg,2021,14.3,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Salzburg,2022,11.2,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Salzburg,2023,12.1,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Tirol,2021,18.2,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Tirol,2022,19.2,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Tirol,2023,14.3,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Vorarlberg,2021,19.4,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Vorarlberg,2022,21.6,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Vorarlberg,2023,18.6,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Belgium,2019,20.0,b
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Belgium,2020,20.3,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Belgium,2021,18.8,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Belgium,2022,18.7,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Belgium,2023,18.6,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2019,38.9,b
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2020,36.4,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2021,35.3,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2022,38.8,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2023,37.6,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Vlaams Gewest,2019,13.9,b
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Vlaams Gewest,2020,14.2,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Vlaams Gewest,2021,12.4,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Vlaams Gewest,2022,11.2,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Vlaams Gewest,2023,12.2,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Prov. Antwerpen,2021,15.8,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Prov. Antwerpen,2022,14.0,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Prov. Antwerpen,2023,14.9,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Prov. Limburg (BE),2021,13.4,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Prov. Limburg (BE),2022,11.5,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Prov. Limburg (BE),2023,11.4,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Prov. Oost-Vlaanderen,2021,11.3,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Prov. Oost-Vlaanderen,2022,10.1,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Prov. Oost-Vlaanderen,2023,11.5,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Prov. Vlaams-Brabant,2021,10.3,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Prov. Vlaams-Brabant,2022,9.5,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Prov. Vlaams-Brabant,2023,10.8,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Prov. West-Vlaanderen,2021,9.6,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Prov. West-Vlaanderen,2022,9.4,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Prov. West-Vlaanderen,2023,10.6,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Région wallonne,2019,24.8,b
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Région wallonne,2020,26.0,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Région wallonne,2021,24.9,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Région wallonne,2022,25.8,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Région wallonne,2023,24.0,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Prov. Brabant wallon,2021,20.7,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Prov. Brabant wallon,2022,22.5,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Prov. Brabant wallon,2023,20.9,
ESTAT:ILC_PEPS11N(1.0),06/12/24 23:00:00,Annual,Percentage,Prov. Hainaut,2021,29.1,
